"location_name","year","scenario","Control","Treated","Aware"
"Bhutan",2024,"Scenario 2",0.0555923487792154,0.150102802853333,0.475291563526088
"Bhutan",2024,"Scenario 3",0.061060024230053,0.156419043846115,0.495291563526088
"Bhutan",2024,"Scenario 4",0.0675486467800635,0.173041116109418,0.515291563526088
"Bhutan",2025,"Baseline",0.0508693496373583,0.143875463220701,0.48637458614768
"Bhutan",2025,"Scenario 1",0.06078230375684,0.158466700805131,0.48637458614768
"Bhutan",2025,"Scenario 2",0.06078230375684,0.158466700805131,0.48637458614768
"Bhutan",2025,"Scenario 3",0.0695786400497879,0.168241062294304,0.51637458614768
"Bhutan",2025,"Scenario 4",0.0803998199377545,0.194406661367906,0.54637458614768
"Bhutan",2026,"Baseline",0.0524970449972418,0.147145977397224,0.497430640762472
"Bhutan",2026,"Scenario 1",0.066277475833307,0.167043203027723,0.497430640762472
"Bhutan",2026,"Scenario 2",0.066277475833307,0.167043203027723,0.497430640762472
"Bhutan",2026,"Scenario 3",0.0788260885389749,0.180475685013286,0.537430640762471
"Bhutan",2026,"Scenario 4",0.0947811129880278,0.217005392629348,0.577430640762472
"Bhutan",2027,"Baseline",0.0541428430099249,0.150408573318321,0.508459927517618
"Bhutan",2027,"Scenario 1",0.0720859829465748,0.175831569694202,0.508459927517618
"Bhutan",2027,"Scenario 2",0.0720859829465748,0.175831569694202,0.508459927517618
"Bhutan",2027,"Scenario 3",0.0888307507638387,0.193122172176155,0.558459927517618
"Bhutan",2027,"Scenario 4",0.110777660123992,0.24083577103399,0.608459927517618
"Bhutan",2028,"Baseline",0.0558066889238523,0.153663309750526,0.519462645074853
"Bhutan",2028,"Scenario 1",0.0782159071261491,0.184831068455018,0.519462645074853
"Bhutan",2028,"Scenario 2",0.0782159071261491,0.184831068455018,0.519462645074853
"Bhutan",2028,"Scenario 3",0.0996209427377166,0.206179791433362,0.579462645074853
"Bhutan",2028,"Scenario 4",0.128474460150195,0.265896273116197,0.639462645074853
"Bhutan",2029,"Baseline",0.0574885285806666,0.15691024502423,0.530438990621511
"Bhutan",2029,"Scenario 1",0.0846752949560623,0.194040974367736,0.530438990621511
"Bhutan",2029,"Scenario 2",0.0846752949560623,0.194040974367736,0.530438990621511
"Bhutan",2029,"Scenario 3",0.111224916252988,0.219647817842471,0.600438990621511
"Bhutan",2029,"Scenario 4",0.147956378195807,0.292185390660712,0.670438990621511
"Bhutan",2030,"Baseline",0.059188308409419,0.160149437036913,0.54138915988147
"Bhutan",2030,"Scenario 1",0.0914721580325717,0.203460569827431,0.54138915988147
"Bhutan",2030,"Scenario 2",0.0914721580325717,0.203460569827431,0.54138915988147
"Bhutan",2030,"Scenario 3",0.123670859703562,0.233525533798557,0.62138915988147
"Bhutan",2030,"Scenario 4",0.169308147408482,0.3197016305602,0.70138915988147
"Bhutan",2031,"Baseline",0.0609059754208333,0.163380943256364,0.552313347126017
"Bhutan",2031,"Scenario 1",0.0986144734166325,0.213089144497705,0.552313347126017
"Bhutan",2031,"Scenario 2",0.0986144734166325,0.213089144497705,0.552313347126017
"Bhutan",2031,"Scenario 3",0.136986898898014,0.247812228965222,0.642313347126017
"Bhutan",2031,"Scenario 4",0.192614370629085,0.34844351467408,0.732313347126017
"Bhutan",2032,"Baseline",0.0626414772016226,0.166604820723862,0.56321174518462
"Bhutan",2032,"Scenario 1",0.106110184081202,0.222925995242324,0.56321174518462
"Bhutan",2032,"Scenario 2",0.106110184081202,0.222925995242324,0.56321174518462
"Bhutan",2032,"Scenario 3",0.151201097863484,0.262507200206231,0.66321174518462
"Bhutan",2032,"Scenario 4",0.217959522047494,0.3784095796886,0.76321174518462
"Bhutan",2033,"Baseline",0.0643947619088587,0.169821126057348,0.574084545455639
"Bhutan",2033,"Scenario 1",0.113967199353428,0.232970426057468,0.574084545455639
"Bhutan",2033,"Scenario 2",0.113967199353428,0.232970426057468,0.574084545455639
"Bhutan",2033,"Scenario 3",0.166341459640417,0.277609751517766,0.684084545455639
"Bhutan",2033,"Scenario 4",0.245427948839674,0.409598376978184,0.794084545455639
"Bhutan",2034,"Baseline",0.0661657782643926,0.173029915454564,0.584931937916938
"Bhutan",2034,"Scenario 1",0.122193395351775,0.243221748004597,0.584931937916938
"Bhutan",2034,"Scenario 2",0.122193395351775,0.243221748004597,0.584931937916938
"Bhutan",2034,"Scenario 3",0.182435927068256,0.293119193961285,0.704931937916938
"Bhutan",2034,"Scenario 4",0.275103872786219,0.442008472468007,0.824931937916938
"Bhutan",2035,"Baseline",0.0679544755493273,0.176231244696172,0.595754111136433
"Bhutan",2035,"Scenario 1",0.130796615418145,0.253679279143908,0.595754111136433
"Bhutan",2035,"Scenario 2",0.130796615418145,0.253679279143908,0.595754111136433
"Bhutan",2035,"Scenario 3",0.199512383562178,0.309034845596988,0.725754111136433
"Bhutan",2035,"Scenario 4",0.307071391872558,0.475638446497804,0.855754111136433
"Bhutan",2036,"Baseline",0.0697608035985408,0.179425169148849,0.606551252282556
"Bhutan",2036,"Scenario 1",0.139784670545046,0.264342344468407,0.606551252282556
"Bhutan",2036,"Scenario 2",0.139784670545046,0.264342344468407,0.606551252282556
"Bhutan",2036,"Scenario 3",0.217598653880962,0.325356031417877,0.746551252282556
"Bhutan",2036,"Scenario 4",0.341414481871015,0.510486893686905,0.886551252282556
"Bhutan",2037,"Baseline",0.0715847127952601,0.18261174376836,0.617323547134637
"Bhutan",2037,"Scenario 1",0.149165339797847,0.275210275838555,0.617323547134637
"Bhutan",2037,"Scenario 2",0.149165339797847,0.275210275838555,0.617323547134637
"Bhutan",2037,"Scenario 3",0.236722504886092,0.342082083284416,0.767323547134637
"Bhutan",2037,"Scenario 4",0.378216997904913,0.546552422800473,0.917323547134637
"Bhutan",2038,"Baseline",0.0734261540656851,0.185791023102607,0.62807118009322
"Bhutan",2038,"Scenario 1",0.158946370732202,0.286282411917522,0.62807118009322
"Bhutan",2038,"Scenario 2",0.158946370732202,0.286282411917522,0.62807118009322
"Bhutan",2038,"Scenario 3",0.256911646292185,0.359212339859773,0.78807118009322
"Bhutan",2038,"Scenario 4",0.417562675994922,0.58383365661694,0.94807118009322
"Bhutan",2039,"Baseline",0.0752850788736616,0.188963061294656,0.638794334190289
"Bhutan",2039,"Scenario 1",0.169135479806656,0.297558098107006,0.638794334190289
"Bhutan",2039,"Scenario 2",0.169135479806656,0.297558098107006,0.638794334190289
"Bhutan",2039,"Scenario 3",0.278193731408829,0.376746146545648,0.808794334190289
"Bhutan",2039,"Scenario 4",0.446016453721684,0.604021447157119,0.95
"Bhutan",2040,"Baseline",0.0771614392154043,0.192127912085745,0.649493191099432
"Bhutan",2040,"Scenario 1",0.179740352790518,0.309036686483643,0.649493191099432
"Bhutan",2040,"Scenario 2",0.179740352790518,0.309036686483643,0.649493191099432
"Bhutan",2040,"Scenario 3",0.300596357873928,0.394682855418676,0.829493191099432
"Bhutan",2040,"Scenario 4",0.474502439925118,0.623021447157119,0.95
"Bhutan",2041,"Baseline",0.079055187614268,0.195285628818259,0.660167931145914
"Bhutan",2041,"Scenario 1",0.190768645167027,0.320717535735983,0.660167931145914
"Bhutan",2041,"Scenario 2",0.190768645167027,0.320717535735983,0.660167931145914
"Bhutan",2041,"Scenario 3",0.32414706837865,0.413021825167407,0.850167931145914
"Bhutan",2041,"Scenario 4",0.503870152256112,0.642021447157119,0.95
"Bhutan",2042,"Baseline",0.080966277115567,0.198436264438698,0.670818733316694
"Bhutan",2042,"Scenario 1",0.202227982531876,0.332600011102037,0.670818733316694
"Bhutan",2042,"Scenario 2",0.202227982531876,0.332600011102037,0.670818733316694
"Bhutan",2042,"Scenario 3",0.348873351384049,0.431762421029851,0.870818733316694
"Bhutan",2042,"Scenario 4",0.534119590714667,0.661021447157119,0.95
"Bhutan",2043,"Baseline",0.082894661281443,0.201579871500609,0.681445775270348
"Bhutan",2043,"Scenario 1",0.214125960987137,0.344683484307382,0.681445775270348
"Bhutan",2043,"Scenario 2",0.214125960987137,0.344683484307382,0.681445775270348
"Bhutan",2043,"Scenario 3",0.374802641829466,0.450904014731587,0.891445775270348
"Bhutan",2043,"Scenario 4",0.565250755300783,0.680021447157119,0.95
"Bhutan",2044,"Baseline",0.0848402941857794,0.204716502167506,0.692049233346935
"Bhutan",2044,"Scenario 1",0.226470147530636,0.356967333503831,0.692049233346935
"Bhutan",2044,"Scenario 2",0.226470147530636,0.356967333503831,0.692049233346935
"Bhutan",2044,"Scenario 3",0.401962321832794,0.470445984424427,0.912049233346935
"Bhutan",2044,"Scenario 4",0.59726364601446,0.699021447157119,0.95
"Bhutan",2045,"Baseline",0.0868031304091637,0.207846208215763,0.702629282577777
"Bhutan",2045,"Scenario 1",0.239268080440826,0.369450943208652,0.702629282577777
"Bhutan",2045,"Scenario 2",0.239268080440826,0.369450943208652,0.702629282577777
"Bhutan",2045,"Scenario 3",0.430379721382677,0.490387714625639,0.932629282577777
"Bhutan",2045,"Scenario 4",0.630158262855697,0.718021447157119,0.95
"Bhutan",2046,"Baseline",0.0887831250338957,0.21096904103749,0.713186096695176
"Bhutan",2046,"Scenario 1",0.252527269657212,0.382133704244332,0.713186096695176
"Bhutan",2046,"Scenario 2",0.252527269657212,0.382133704244332,0.713186096695176
"Bhutan",2046,"Scenario 3",0.458544259706502,0.509021447157119,0.95
"Bhutan",2046,"Scenario 4",0.663934605824495,0.737021447157119,0.95
"Bhutan",2047,"Baseline",0.0907802336390422,0.214085051643379,0.723719848142052
"Bhutan",2047,"Scenario 1",0.266255197156364,0.395015013678892,0.723719848142052
"Bhutan",2047,"Scenario 2",0.266255197156364,0.395015013678892,0.723719848142052
"Bhutan",2047,"Scenario 3",0.479133609417356,0.518521447157119,0.95
"Bhutan",2047,"Scenario 4",0.698592674920853,0.756021447157119,0.95
"Bhutan",2048,"Baseline",0.0927944122955377,0.217194290665541,0.734230708081515
"Bhutan",2048,"Scenario 1",0.280459317323579,0.408094274766735,0.734230708081515
"Bhutan",2048,"Scenario 2",0.280459317323579,0.408094274766735,0.734230708081515
"Bhutan",2048,"Scenario 3",0.500163822191991,0.528021447157119,0.95
"Bhutan",2048,"Scenario 4",0.734132470144772,0.775021447157119,0.95
"Bhutan",2049,"Baseline",0.0948256175613298,0.220296808360312,0.744718846406363
"Bhutan",2049,"Scenario 1",0.295147057320224,0.42137089689003,0.744718846406363
"Bhutan",2049,"Scenario 2",0.295147057320224,0.42137089689003,0.744718846406363
"Bhutan",2049,"Scenario 3",0.510645374799263,0.537521447157119,0.95
"Bhutan",2049,"Scenario 4",0.754320374799263,0.794021447157119,0.95
"Bhutan",2050,"Baseline",0.0968738064765703,0.223392654611044,0.755184431748506
"Bhutan",2050,"Scenario 1",0.31032581744682,0.434844295500625,0.755184431748506
"Bhutan",2050,"Scenario 2",0.31032581744682,0.434844295500625,0.755184431748506
"Bhutan",2050,"Scenario 3",0.519670374799263,0.547021447157119,0.95
"Bhutan",2050,"Scenario 4",0.772370374799263,0.813021447157119,0.95
"Bolivia (Plurinational State of)",2017,"Baseline",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2017,"Scenario 1",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2017,"Scenario 2",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2017,"Scenario 3",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2017,"Scenario 4",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2018,"Baseline",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2018,"Scenario 1",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2018,"Scenario 2",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2018,"Scenario 3",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2018,"Scenario 4",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2019,"Baseline",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2019,"Scenario 1",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2019,"Scenario 2",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2019,"Scenario 3",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2019,"Scenario 4",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2020,"Baseline",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2020,"Scenario 1",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2020,"Scenario 2",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2020,"Scenario 3",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2020,"Scenario 4",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2021,"Baseline",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2021,"Scenario 1",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2021,"Scenario 2",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2021,"Scenario 3",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2021,"Scenario 4",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2022,"Baseline",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2022,"Scenario 1",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2022,"Scenario 2",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2022,"Scenario 3",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2022,"Scenario 4",0.143326537386075,0.268009783294063,0.603821997824033
"Bolivia (Plurinational State of)",2023,"Baseline",0.147185658279307,0.272676624144114,0.608191330038617
"Bolivia (Plurinational State of)",2023,"Scenario 1",0.153256144839451,0.2787585374445,0.608191330038617
"Bolivia (Plurinational State of)",2023,"Scenario 2",0.153256144839451,0.2787585374445,0.608191330038617
"Bolivia (Plurinational State of)",2023,"Scenario 3",0.15860943154022,0.283341939470747,0.618191330038617
"Bolivia (Plurinational State of)",2023,"Scenario 4",0.16469162851636,0.29420725479738,0.628191330038617
"Bolivia (Plurinational State of)",2024,"Baseline",0.151111899687984,0.277381006882187,0.612557024132237
"Bolivia (Plurinational State of)",2024,"Scenario 1",0.163578731082737,0.289632147364832,0.612557024132237
"Bolivia (Plurinational State of)",2024,"Scenario 2",0.163578731082737,0.289632147364832,0.612557024132237
"Bolivia (Plurinational State of)",2024,"Scenario 3",0.174901353031416,0.299088643199652,0.632557024132237
"Bolivia (Plurinational State of)",2024,"Scenario 4",0.188063390891997,0.321596279517118,0.652557024132237
"Bolivia (Plurinational State of)",2025,"Baseline",0.155105800795887,0.282122887955416,0.616919091899025
"Bolivia (Plurinational State of)",2025,"Scenario 1",0.174299826300192,0.300630460712387,0.616919091899025
"Bolivia (Plurinational State of)",2025,"Scenario 2",0.174299826300192,0.300630460712387,0.616919091899025
"Bolivia (Plurinational State of)",2025,"Scenario 3",0.192233300030413,0.315249742138107,0.646919091899025
"Bolivia (Plurinational State of)",2025,"Scenario 4",0.213531031770598,0.350176596320798,0.676919091899025
"Bolivia (Plurinational State of)",2026,"Baseline",0.15916790002332,0.286902224004846,0.621277545094877
"Bolivia (Plurinational State of)",2026,"Scenario 1",0.18542495193054,0.311753325808641,0.621277545094877
"Bolivia (Plurinational State of)",2026,"Scenario 2",0.18542495193054,0.311753325808641,0.621277545094877
"Bolivia (Plurinational State of)",2026,"Scenario 3",0.210636255895286,0.331825084607587,0.661277545094877
"Bolivia (Plurinational State of)",2026,"Scenario 4",0.241183733016611,0.379947945210328,0.701277545094877
"Bolivia (Plurinational State of)",2027,"Baseline",0.163298735031508,0.291718971864634,0.62563239543758
"Bolivia (Plurinational State of)",2027,"Scenario 1",0.196959620715126,0.323000591636513,0.62563239543758
"Bolivia (Plurinational State of)",2027,"Scenario 2",0.196959620715126,0.323000591636513,0.62563239543758
"Bolivia (Plurinational State of)",2027,"Scenario 3",0.230141189252659,0.348814519591011,0.67563239543758
"Bolivia (Plurinational State of)",2027,"Scenario 4",0.271110651240077,0.410910067317388,0.72563239543758
"Bolivia (Plurinational State of)",2028,"Baseline",0.167498842726973,0.29657308856125,0.629983654606934
"Bolivia (Plurinational State of)",2028,"Scenario 1",0.208909336745842,0.334372107837666,0.629983654606934
"Bolivia (Plurinational State of)",2028,"Scenario 2",0.208909336745842,0.334372107837666,0.629983654606934
"Bolivia (Plurinational State of)",2028,"Scenario 3",0.250779054078549,0.366217896730042,0.689983654606934
"Bolivia (Plurinational State of)",2028,"Scenario 4",0.303400917934708,0.443062704898834,0.749983654606934
"Bolivia (Plurinational State of)",2029,"Baseline",0.171768759265893,0.301464531312687,0.634331334244875
"Bolivia (Plurinational State of)",2029,"Scenario 1",0.221279595512819,0.345867724709828,0.634331334244875
"Bolivia (Plurinational State of)",2029,"Scenario 2",0.221279595512819,0.345867724709828,0.634331334244875
"Bolivia (Plurinational State of)",2029,"Scenario 3",0.2725807897788,0.384035066322409,0.704331334244875
